DocID,StoreCode,ProductItemCode,ProductCode,Date,ReturnFlag,Time,Quantity,Amount,DiscountAmount,ChangeCardFlag
33,1790,M100328-81241023,M100328-81241,01.04.2024,1,1150,-1,"-310,02","-208,15455",0
34,1666,M100462-80835007,M100462-80835,16.02.2024,1,1357,-1,"-698,17","-174,54545",0
35,1885,M100462-80835007,M100462-80835,03.02.2024,1,2032,-1,"-698,17","-174,54545",0
36,1851,M100462-80835007,M100462-80835,25.02.2024,1,1848,-1,"-698,17","-174,54545",0
37,1652,M1010152-81461109,M1010152-81461,29.03.2024,1,1724,-1,"-318,17","-281,81818",0
38,1605,M1010152-81461136,M1010152-81461,12.04.2024,1,1343,-1,"-269,23","-330,76364",0
39,1545,M1010349-86424049,M1010349-86424,16.02.2024,1,2020,-1,"-654,54","-163,63636",0
40,1652,M101077-80984035,M101077-80984,26.03.2024,1,1212,-1,"-310,02","-208,15455",0
41,1545,M101225-83035036,M101225-83035,14.03.2024,1,1757,-1,"-625,45","-156,36364",0
42,1636,M100277-35250017,M100277-35250,29.04.2024,1,1750,-1,"-663,09","-64,17273",0
44,1810,M100277-35250017,M100277-35250,21.05.2024,1,1948,-1,"-545,45","-181,81818",0
45,1922,M100277-35250017,M100277-35250,10.05.2024,1,2106,-1,"-556,14","-171,12727",0
46,1867,M1010627-87211015,M1010627-87211,22.05.2024,1,2123,-1,"-636,35","-272,72727",0
47,1867,M101437-80890010,M101437-80890,22.05.2024,1,1825,-1,"-509,08","-218,18182",0
48,1522,M101437-80890010,M101437-80890,30.05.2024,1,1939,-1,"-551,72","-175,54545",0
49,1879,M100328-81241023,M100328-81241,17.02.2024,1,2031,-1,"-414,54","-103,63636",0
51,1608,M101437-80890010,M101437-80890,01.04.2024,1,1528,-1,"-581,81","-145,45455",0
52,1608,M100462-80835007,M100462-80835,30.05.2024,1,2047,-1,"-698,17","-174,54545",0
53,1533,M100462-80835007,M100462-80835,15.03.2024,1,1129,-1,"-698,17","-174,54545",0
54,1930,M100462-80835007,M100462-80835,07.04.2024,1,1255,-1,"-698,17","-174,54545",0
55,1524,M101437-80890010,M101437-80890,03.03.2024,1,1436,-1,"-581,81","-145,45455",0
56,1647,M101437-80890010,M101437-80890,08.03.2024,1,2012,-1,"-565,65","-161,61818",0
58,1545,M100277-35250017,M100277-35250,05.03.2024,1,1414,-1,"-427,77","-183,33333",0
59,1632,M100462-80835007,M100462-80835,21.05.2024,1,1937,-1,"-610,9","-261,81818",0
60,1867,M1010627-87211015,M1010627-87211,22.05.2024,1,1811,-1,"-636,35","-272,72727",0
61,1699,M101065-85255065,M101065-85255,18.04.2024,1,2023,-1,"-479,99",-120,0
62,1652,M101437-80890010,M101437-80890,05.03.2024,1,1440,-1,"-581,81","-145,45455",0
63,1663,M101437-80890010,M101437-80890,06.03.2024,1,2058,-1,"-581,81","-145,45455",0
64,1662,M101441-86391041,M101441-86391,14.02.2024,1,1709,-1,"-547,26","-234,54545",0
66,1837,M100462-80835007,M100462-80835,18.02.2024,1,1733,-1,"-698,17","-174,54545",0
70,1520,M101437-80890010,M101437-80890,23.02.2024,1,1707,-1,"-581,81","-145,45455",0
71,1820,M101437-80890010,M101437-80890,23.02.2024,1,1238,-1,"-581,81","-145,45455",0
72,1755,M101437-80890010,M101437-80890,06.02.2024,1,1547,-1,"-581,81","-145,45455",0
73,1614,M101437-80890010,M101437-80890,13.02.2024,1,1121,-1,"-581,81","-145,45455",0
74,1674,M100462-80835007,M100462-80835,05.05.2024,1,1345,-1,"-596,27","-276,44545",0
75,1870,M100462-80835007,M100462-80835,02.04.2024,1,1642,-1,"-590,9","-281,81818",0
76,1844,M100462-80835007,M100462-80835,04.02.2024,1,1833,-1,"-698,17","-174,54545",0
77,1917,M100462-80835007,M100462-80835,15.03.2024,1,2101,-1,"-698,17","-174,54545",0
78,1604,M100277-33555020,M100277-33555,21.02.2024,1,1528,-1,"-572,72","-245,45455",0
79,1751,M1010152-81461136,M1010152-81461,24.03.2024,1,1435,-1,"-333,33","-266,66364",0
80,1839,M1010152-86465050,M1010152-86465,03.04.2024,1,1218,-1,"-699,99",-300,0
81,1686,M1010593-86722023,M1010593-86722,15.04.2024,1,1632,-1,"-590,9","-227,27273",0
82,1641,M101065-85255065,M101065-85255,30.03.2024,1,1335,-1,"-531,28","-68,70909",0
83,1881,M101065-85255065,M101065-85255,15.04.2024,1,1731,-1,"-479,99",-120,0
84,1883,M1010600-88244014,M1010600-88244,15.05.2024,1,2055,-1,"-636,35","-272,72727",0
85,1910,M1010627-87211015,M1010627-87211,20.03.2024,1,2152,-1,"-636,35","-272,72727",0
86,1882,M1010627-87211015,M1010627-87211,10.04.2024,1,1858,-1,"-636,35","-272,72727",0
87,1813,M1010627-87211028,M1010627-87211,20.03.2024,1,2129,-1,"-636,35","-272,72727",0
88,1838,M1010627-87211028,M1010627-87211,27.03.2024,1,1115,-1,"-636,35","-272,72727",0
89,1576,M1010627-87211028,M1010627-87211,27.03.2024,1,1554,-1,"-636,35","-272,72727",0
90,1559,M1010627-87211028,M1010627-87211,20.03.2024,1,1851,-1,"-636,35","-272,72727",0
91,1539,M101225-86467063,M101225-86467,11.03.2024,1,1437,-1,"-636,35","-272,72727",0
95,1566,M100462-80835007,M100462-80835,22.05.2024,1,1851,-1,"-698,17","-174,54545",0
96,1551,M101437-80890010,M101437-80890,18.02.2024,1,2039,-1,"-581,81","-145,45455",0
100,1755,M1010152-81461136,M1010152-81461,08.04.2024,0,1526,1,"333,33","266,66364",0
101,1914,M101065-85255036,M101065-85255,03.02.2024,0,2052,1,"479,99",120,0
102,1871,M101065-85255065,M101065-85255,11.02.2024,0,1801,1,"479,99",120,0
103,1894,M100462-80835007,M100462-80835,16.02.2024,0,1953,1,"698,17273","174,54545",0
104,1789,M100462-80835007,M100462-80835,08.04.2024,0,2149,1,"590,9","281,81818",0
105,1845,M100277-35250017,M100277-35250,04.05.2024,0,2122,1,"588,16","139,1",0
106,1666,M100277-35250017,M100277-35250,30.05.2024,0,2014,1,"613,63","113,63636",0
107,1864,M100462-80835007,M100462-80835,14.02.2024,0,1926,1,"698,17","174,54545",0
108,1755,M100462-80835007,M100462-80835,21.04.2024,0,1235,1,"527,46","345,25455",0
109,1896,M100462-80835007,M100462-80835,10.05.2024,0,1806,1,"590,9","281,81818",0
110,1872,M1010593-86722023,M1010593-86722,11.04.2024,0,1727,1,"590,9","227,27273",0
111,1608,M1010349-86424049,M1010349-86424,04.02.2024,0,1936,1,"654,54","163,63636",0
112,1845,M101437-80890010,M101437-80890,28.02.2024,0,1728,1,"581,81","145,45455",0
113,1666,M101437-80890010,M101437-80890,01.03.2024,0,1226,1,"581,81","145,45455",0
114,1551,M101437-80890010,M101437-80890,03.02.2024,0,2011,1,"581,81","145,45455",0
115,1802,M100328-81241023,M100328-81241,08.05.2024,0,1600,1,"318,17",200,0
116,1818,M1010152-81461109,M1010152-81461,24.03.2024,0,1359,1,"318,17","281,81818",0
117,1714,M1010152-85138049,M1010152-85138,07.04.2024,0,1149,1,"318,17","281,81818",0
118,1755,M100462-80835007,M100462-80835,03.04.2024,0,1352,1,"590,9","281,81818",0
119,1652,M100462-80835007,M100462-80835,31.03.2024,0,2049,1,"596,27","276,44545",0
120,1802,M100462-80835007,M100462-80835,20.02.2024,0,1652,1,"698,17","174,54545",0
121,1582,M100462-80835007,M100462-80835,05.03.2024,0,1746,1,"698,17","174,54545",0
122,1578,M100462-80835007,M100462-80835,07.03.2024,0,1919,1,"698,17","174,54545",0
123,1547,M100462-80835007,M100462-80835,14.02.2024,0,2108,1,"698,17","174,54545",0
124,1930,M100462-80835007,M100462-80835,25.02.2024,0,1511,1,"698,17","174,54545",0
125,1764,M100462-80835007,M100462-80835,19.03.2024,0,1458,1,"698,17","174,54545",0
126,1578,M1010627-87211015,M1010627-87211,11.04.2024,0,2115,1,"636,35","272,72727",0
127,1662,M1010627-87211015,M1010627-87211,13.03.2024,0,1102,1,"636,35","272,72727",0
128,1566,M101441-86391041,M101441-86391,26.04.2024,0,1605,1,"636,35","272,72727",0
129,1867,M1010627-87211015,M1010627-87211,13.03.2024,0,1609,1,"636,35","272,72727",0
130,1632,M100328-25682013,M100328-25682,04.02.2024,0,1440,1,"363,63","63,63636",0
131,1694,M1010125-84418043,M1010125-84418,11.03.2024,0,1925,1,"479,99",120,0
132,1669,M1010125-84418043,M1010125-84418,18.03.2024,0,1249,1,"479,99",120,0
133,1714,M101437-80890010,M101437-80890,28.04.2024,0,1802,1,"581,81","145,45455",0
134,1877,M101437-80890010,M101437-80890,17.04.2024,0,1743,1,"551,72","175,54545",0
136,1694,M1010152-81461136,M1010152-81461,22.03.2024,0,1730,1,"269,23","330,76364",0
137,1751,M1010152-81461136,M1010152-81461,22.03.2024,0,1740,1,"341,45","258,53636",0
138,1516,M1010627-87211015,M1010627-87211,22.05.2024,0,2149,1,"699,99",300,0
139,1659,M100277-35250017,M100277-35250,01.05.2024,0,2047,1,"572,72","245,45455",0
140,1619,M100462-80835007,M100462-80835,09.04.2024,0,2231,1,"590,9","281,81818",0
141,1755,M1010152-85138049,M1010152-85138,01.04.2024,0,1831,1,"318,17","281,81818",0
142,1919,M101437-80890010,M101437-80890,03.04.2024,0,1814,1,500,"227,26364",0
143,1669,M1010593-86722023,M1010593-86722,03.04.2024,0,1444,1,"511,36","306,80909",0
144,1545,M100462-80835007,M100462-80835,07.04.2024,0,1445,1,"545,45455","327,26363",0
145,1922,M100462-80835007,M100462-80835,18.02.2024,0,1452,1,"698,17273","174,54545",0
146,1739,M1010152-81461136,M1010152-81461,18.03.2024,0,1703,1,"341,45455","258,53636",0
147,1714,M101225-83035036,M101225-83035,08.03.2024,0,1301,1,"625,44545","156,36364",0
148,1732,M100462-80835007,M100462-80835,18.02.2024,0,1844,1,"698,17273","174,54545",0
149,1718,M1010349-86424049,M1010349-86424,30.04.2024,0,1708,1,"590,9","227,27273",0
150,1514,M1010627-87211015,M1010627-87211,17.04.2024,0,2156,1,"636,35","272,72727",0
151,1842,M1010627-87211015,M1010627-87211,20.03.2024,0,2037,1,"636,35","272,72727",0
152,1572,M1010627-87211015,M1010627-87211,27.03.2024,0,1727,1,"636,35","272,72727",0
153,1882,M1010627-87211015,M1010627-87211,03.04.2024,0,1951,1,"636,35","272,72727",0
154,1813,M1010627-87211028,M1010627-87211,13.03.2024,0,2105,1,"636,35","272,72727",0
155,1716,M1010627-87211028,M1010627-87211,24.04.2024,0,1537,1,"636,35","272,72727",0
156,1713,M1010627-87211028,M1010627-87211,22.03.2024,0,1237,1,"636,35","272,72727",0
157,1521,M1010627-87211028,M1010627-87211,21.04.2024,0,1454,1,"636,35","272,72727",0
158,1838,M1010600-87179007,M1010600-87179,27.03.2024,0,1828,1,"636,35","272,72727",0
159,1883,M1010600-88244014,M1010600-88244,17.04.2024,0,1825,1,"636,35","272,72727",0
160,1614,M101225-86467063,M101225-86467,28.02.2024,0,1725,1,"636,35","272,72727",0
161,1542,M101441-86391041,M101441-86391,10.05.2024,0,1725,1,"636,35","272,72727",0
162,1927,M101441-86391041,M101441-86391,17.04.2024,0,2045,1,"636,35","272,72727",0
163,1867,M1010627-87211015,M1010627-87211,03.04.2024,0,2228,1,"636,35","272,72727",0
164,1507,M1010627-87211028,M1010627-87211,10.04.2024,0,2020,1,"636,35","272,72727",0
165,1715,M1010627-87211028,M1010627-87211,20.03.2024,0,2203,1,"636,35","272,72727",0
166,1641,M1010627-87211028,M1010627-87211,13.03.2024,0,1950,1,"636,35","272,72727",0
167,1713,M1010627-87211028,M1010627-87211,19.03.2024,0,1311,1,"636,35","272,72727",0
169,1559,M100462-80835007,M100462-80835,02.02.2024,0,2026,1,"698,17","174,54545",0
170,1856,M100462-80835007,M100462-80835,08.02.2024,0,1916,1,"698,17","174,54545",0
171,1837,M100462-80835007,M100462-80835,11.03.2024,0,1259,1,"698,17","174,54545",0
172,1810,M100462-80835007,M100462-80835,01.02.2024,0,1833,1,"698,17","174,54545",0
173,1758,M100462-80835007,M100462-80835,28.02.2024,0,1256,1,"698,17","174,54545",0
174,1556,M100462-80835007,M100462-80835,04.02.2024,0,1311,1,"698,17","174,54545",0
175,1712,M100462-80835007,M100462-80835,13.03.2024,0,1434,1,"698,17","174,54545",0
176,1579,M100462-80835007,M100462-80835,04.02.2024,0,1518,1,"698,17","174,54545",0
177,1649,M100462-80835007,M100462-80835,06.02.2024,0,1409,1,"698,17","174,54545",0
178,1687,M100462-80835007,M100462-80835,18.02.2024,0,1728,1,"698,17","174,54545",0
179,1575,M100462-80835007,M100462-80835,01.03.2024,0,1356,1,"698,17","174,54545",0
180,1518,M100462-80835007,M100462-80835,26.02.2024,0,1028,1,"698,17","174,54545",0
181,1570,M100462-80835007,M100462-80835,04.02.2024,0,1237,1,"698,17","174,54545",0
182,1663,M100462-80835007,M100462-80835,08.02.2024,0,1917,1,"698,17","174,54545",0
183,1837,M100462-80835007,M100462-80835,04.03.2024,0,1710,1,"698,17","174,54545",0
184,1666,M100462-80835007,M100462-80835,04.02.2024,0,1544,1,"698,17","174,54545",0
185,1507,M100462-80835007,M100462-80835,02.02.2024,0,1823,1,"610,9","261,81818",0
186,1573,M100462-80835007,M100462-80835,03.04.2024,0,2002,1,"590,9","281,81818",0
187,1583,M101225-83035036,M101225-83035,22.02.2024,0,1859,1,"625,45","156,36364",0
188,1571,M100277-35250017,M100277-35250,03.04.2024,0,1514,1,"572,72","245,45455",0
189,1540,M100277-35250017,M100277-35250,22.03.2024,0,1344,1,"572,72","245,45455",0
190,1822,M101225-80680034,M101225-80680,29.05.2024,0,2105,1,"334,7","74,38182",0
191,1562,M101225-80680034,M101225-80680,15.05.2024,0,1915,1,"572,72","245,45455",0
192,1680,M101437-80890010,M101437-80890,04.02.2024,0,1540,1,"581,81","145,45455",0
193,1755,M1010152-81461109,M1010152-81461,25.03.2024,0,1254,1,"318,18","281,80909",0
194,1748,M1010456-80668158,M1010456-80668,04.04.2024,0,1356,1,"590,9","190,90909",0
195,1694,M1010593-86722023,M1010593-86722,10.02.2024,0,1509,1,"654,54","163,63636",0
196,1545,M1010593-86722023,M1010593-86722,13.03.2024,0,1838,1,"654,54","163,63636",0
197,1783,M1010593-86722023,M1010593-86722,11.04.2024,0,2012,1,"590,9","227,27273",0
198,1845,M1010627-87211015,M1010627-87211,24.04.2024,0,2125,1,"699,99",300,0
200,1871,M1010627-87211015,M1010627-87211,22.05.2024,0,1052,1,"699,99",300,0
201,1820,M101437-80890010,M101437-80890,03.02.2024,0,1116,1,"581,81","145,45455",0
202,1676,M101437-80890010,M101437-80890,22.02.2024,0,1110,1,"581,81","145,45455",0
203,1739,M1010152-85138049,M1010152-85138,12.05.2024,0,1602,1,"363,63","236,36364",0
204,1842,M101065-85255036,M101065-85255,04.02.2024,0,1853,1,"479,99",120,0
205,1677,M101065-85255036,M101065-85255,11.02.2024,0,1131,1,"479,99",120,0
206,1625,M101065-85255065,M101065-85255,09.02.2024,0,1034,1,"479,99",120,0
207,1628,M1010125-84418043,M1010125-84418,09.02.2024,0,1501,1,"479,99",120,0
208,1842,M100277-33555016,M100277-33555,22.05.2024,1,1440,-1,"-818,17",0,0
209,1857,M100277-86452022,M100277-86452,15.05.2024,1,1851,-1,"-818,17",0,0
210,1775,M100277-86452022,M100277-86452,04.05.2024,1,2149,-1,"-818,17",0,0
211,1913,M101065-82485022,M101065-82485,11.05.2024,1,1408,-1,"-462,95",0,0
212,1543,M101047-85269024,M101047-85269,05.04.2024,1,1311,-1,"-599,99",0,0
213,1657,M101077-86788044,M101077-86788,23.04.2024,1,1616,-1,"-909,08",0,0
214,1527,M101077-86788044,M101077-86788,24.05.2024,1,1312,-1,"-909,08",0,0
215,1855,M101441-85807042,M101441-85807,02.03.2024,1,2121,-1,"-781,81",0,0
216,1939,M100277-81362013,M100277-81362,14.05.2024,1,1428,-1,"-518,17",0,0
217,1637,M100277-86452022,M100277-86452,07.05.2024,1,1916,-1,"-818,17",0,0
218,1528,M100277-86452022,M100277-86452,01.05.2024,1,1259,-1,"-818,17",0,0
219,1653,M100277-86452022,M100277-86452,13.04.2024,1,1744,-1,"-818,17",0,0
220,1869,M100277-86452022,M100277-86452,09.04.2024,1,1648,-1,"-818,17",0,0
221,1873,M100277-86452022,M100277-86452,12.04.2024,1,1400,-1,"-818,17",0,0
222,1936,M100277-86452022,M100277-86452,19.02.2024,1,1436,-1,"-818,17",0,0
223,1519,M100277-86452022,M100277-86452,13.02.2024,1,1411,-1,"-818,17",0,0
224,1607,M100277-86452022,M100277-86452,11.05.2024,1,1412,-1,"-818,17",0,0
225,1661,M100277-33555016,M100277-33555,23.03.2024,1,1134,-1,"-818,17",0,0
226,1608,M100980-83673036,M100980-83673,12.04.2024,1,1655,-1,"-818,17",0,0
227,1814,M100277-33555016,M100277-33555,26.04.2024,1,2028,-1,"-818,17",0,0
228,1555,M100277-33555016,M100277-33555,07.04.2024,1,1241,-1,"-818,17",0,0
230,1855,M100980-83673036,M100980-83673,15.05.2024,1,1933,-1,"-818,17",0,0
231,1600,M101225-80680002,M101225-80680,22.02.2024,1,1831,-1,"-818,17",0,0
232,1576,M101047-85269024,M101047-85269,26.04.2024,1,1255,-1,"-909,08",0,0
233,1915,M101047-85269024,M101047-85269,09.04.2024,1,1333,-1,"-909,08",0,0
234,1631,M101047-85269024,M101047-85269,21.03.2024,1,1957,-1,"-909,08",0,0
235,1912,M101047-85269024,M101047-85269,06.05.2024,1,1539,-1,"-909,08",0,0
236,1909,M101047-85269024,M101047-85269,13.02.2024,1,1332,-1,"-909,08",0,0
237,1625,M101437-85292044,M101437-85292,20.03.2024,1,1525,-1,"-909,08",0,0
239,1843,M101077-86788044,M101077-86788,02.04.2024,1,1331,-1,"-909,08",0,0
240,1885,M101077-86788044,M101077-86788,30.03.2024,1,1628,-1,"-909,08",0,0
241,1802,M101077-86788044,M101077-86788,16.03.2024,1,1939,-1,"-909,08",0,0
242,1716,M101077-86788044,M101077-86788,08.04.2024,1,1203,-1,"-909,08",0,0
243,1931,M101077-86788044,M101077-86788,08.04.2024,1,1414,-1,"-909,08",0,0
244,1534,M101077-86788044,M101077-86788,15.05.2024,1,2114,-1,"-909,08",0,0
245,1913,M100277-86454027,M100277-86454,08.04.2024,1,2111,-1,"-909,08",0,0
246,1734,M100277-87640025,M100277-87640,21.05.2024,1,1608,-1,"-909,08",0,0
247,1777,M101065-32045029,M101065-32045,31.03.2024,1,2014,-1,"-727,26",0,0
248,1759,M101225-80680002,M101225-80680,05.04.2024,0,1535,1,"818,17",0,0
249,1923,M100277-86452022,M100277-86452,27.05.2024,0,1850,1,"818,17",0,0
250,1913,M100277-86452022,M100277-86452,21.04.2024,0,1538,1,"818,17",0,0
251,1935,M100277-86452022,M100277-86452,09.04.2024,0,1701,1,"818,17",0,0
252,1552,M100277-86452022,M100277-86452,03.03.2024,0,1559,1,"818,17",0,0
253,1571,M100277-86452022,M100277-86452,06.02.2024,0,1508,1,"818,17",0,0
254,1915,M100277-86452022,M100277-86452,30.04.2024,0,2119,1,"818,17",0,0
255,1911,M100277-33555016,M100277-33555,09.04.2024,0,1745,1,"818,17",0,0
256,1873,M100277-81362013,M100277-81362,19.03.2024,0,1851,1,"818,17",0,0
258,1734,M100980-83673036,M100980-83673,31.03.2024,0,1714,1,"818,17",0,0
259,1874,M100277-81362013,M100277-81362,21.04.2024,0,1333,1,"818,17",0,0
260,1618,M100277-86452022,M100277-86452,09.03.2024,0,1944,1,"818,17",0,0
261,1881,M100277-86452022,M100277-86452,09.04.2024,0,2143,1,"818,17",0,0
262,1699,M100277-86452022,M100277-86452,10.05.2024,0,1453,1,"818,17",0,0
263,1582,M100277-86452022,M100277-86452,10.03.2024,0,1737,1,"818,17",0,0
264,1527,M100277-86452022,M100277-86452,03.03.2024,0,1836,1,"818,17",0,0
265,1679,M100277-86452022,M100277-86452,03.02.2024,0,1722,1,"818,17",0,0
266,1812,M100277-33555016,M100277-33555,21.03.2024,0,1620,1,"818,17",0,0
267,1760,M100277-81362013,M100277-81362,21.03.2024,0,1547,1,"818,17",0,0
269,1777,M100980-83673036,M100980-83673,30.04.2024,0,2004,1,"818,17",0,0
270,1720,M101225-80680002,M101225-80680,12.04.2024,0,1358,1,"818,17",0,0
271,1687,M1010640-87927030,M1010640-87927,16.05.2024,0,2144,1,"1090,9",0,0
272,1507,M101441-85807042,M101441-85807,24.02.2024,0,1505,1,"781,81",0,0
273,1513,M101441-85807042,M101441-85807,28.02.2024,0,1727,1,"781,81",0,0
274,1542,M1010593-87062056,M1010593-87062,14.05.2024,0,1227,1,"999,99",0,0
275,1543,M101047-85269024,M101047-85269,05.04.2024,0,1312,1,"599,99",0,0
276,1766,M100277-87640025,M100277-87640,17.05.2024,0,1833,1,"909,08",0,0
277,1939,M100277-87640025,M100277-87640,30.04.2024,0,1338,1,"909,08",0,0
278,1652,M100277-86454027,M100277-86454,10.03.2024,0,1452,1,"909,08",0,0
279,1807,M101225-80998048,M101225-80998,14.02.2024,0,2025,1,"909,08",0,0
280,1807,M101077-86788044,M101077-86788,23.05.2024,0,1515,1,"909,08",0,0
281,1527,M101077-86788044,M101077-86788,24.05.2024,0,1312,1,"909,08",0,0
282,1673,M101077-86788044,M101077-86788,10.05.2024,0,1300,1,"909,08",0,0
283,1538,M101077-86788044,M101077-86788,10.05.2024,0,1113,1,"909,08",0,0
284,1516,M101077-86788044,M101077-86788,01.04.2024,0,1830,1,"909,08",0,0
285,1600,M101047-85269024,M101047-85269,14.04.2024,0,1801,1,"909,08",0,0
286,1628,M101047-85269024,M101047-85269,17.02.2024,0,1947,1,"909,08",0,0
287,1590,M101047-85269024,M101047-85269,28.05.2024,0,1507,1,"909,08",0,0
288,1806,M101047-85269024,M101047-85269,26.02.2024,0,1653,1,"909,08",0,0
289,1543,M101047-85269024,M101047-85269,21.02.2024,0,1842,1,"909,08",0,0
290,1910,M101437-85292044,M101437-85292,17.02.2024,0,1804,1,"909,08",0,0
291,1844,M101077-86788044,M101077-86788,07.04.2024,0,1335,1,"909,08",0,0
292,1666,M101077-86788044,M101077-86788,23.02.2024,0,1640,1,"909,08",0,0
293,1716,M101077-86788044,M101077-86788,05.04.2024,0,1719,1,"909,08",0,0
294,1557,M101077-86788044,M101077-86788,02.05.2024,0,1952,1,"909,08",0,0
295,1839,M101077-86788044,M101077-86788,09.04.2024,0,2212,1,"909,08",0,0
296,1807,M101077-86788044,M101077-86788,26.05.2024,0,1731,1,"909,08",0,0
297,1689,M101077-86788044,M101077-86788,06.02.2024,0,1108,1,"909,08",0,0
298,1517,M101077-86788044,M101077-86788,09.04.2024,0,1819,1,"909,08",0,0
299,1744,M100277-87640025,M100277-87640,21.05.2024,0,1908,1,"909,08",0,0
300,1777,M101065-32045029,M101065-32045,23.03.2024,0,1801,1,"727,26",0,1
301,1734,M101047-85269024,M101047-85269,31.05.2024,0,1953,1,"727,26",0,0
302,1940,M101065-32045029,M101065-32045,05.05.2024,0,1355,1,"727,26",0,0
303,1835,M101225-80680002,M101225-80680,18.02.2024,0,1654,1,"818,17",0,0
304,1847,M100277-86452022,M100277-86452,13.04.2024,0,2005,1,"818,17",0,0
305,1853,M100277-86452022,M100277-86452,09.04.2024,0,1616,1,"818,17",0,0
306,1538,M100277-86452022,M100277-86452,09.04.2024,0,1625,1,"818,17",0,0
307,1650,M100277-86452022,M100277-86452,08.04.2024,0,1901,1,"818,17",0,0
308,1810,M100277-86452022,M100277-86452,06.04.2024,0,1323,1,"818,17",0,0
309,1660,M100277-86452022,M100277-86452,20.03.2024,0,2030,1,"818,17",0,0
310,1780,M100277-86452022,M100277-86452,28.03.2024,0,1724,1,"818,17",0,0
311,1508,M100277-86452022,M100277-86452,23.04.2024,0,1430,1,"818,17",0,0
312,1843,M100277-86452022,M100277-86452,26.03.2024,0,2151,1,"818,17",0,0
313,1822,M100277-86452022,M100277-86452,30.03.2024,0,1901,1,"818,17",0,0
314,1811,M100277-86452022,M100277-86452,04.04.2024,0,1900,1,"818,17",0,0
315,1864,M100277-86452022,M100277-86452,01.04.2024,0,2045,1,"818,17",0,0
316,1850,M100277-86452022,M100277-86452,14.02.2024,0,2021,1,"818,17",0,0
317,1806,M100277-86452022,M100277-86452,16.03.2024,0,2019,1,"818,17",0,0
318,1835,M100277-86452022,M100277-86452,10.03.2024,0,1128,1,"818,17",0,0
319,1566,M100277-86452022,M100277-86452,28.04.2024,0,1302,1,"818,17",0,0
320,1871,M100277-86452022,M100277-86452,09.03.2024,0,1212,1,"818,17",0,0
